0.65568	0
3.48496	536
4.59408	1072
4.83008	1608
5.7032	2144
5.9392	2680
6.1752	3216
6.4112	3752
7.5912	4288
7.8272	4824
8.0632	5360
8.2992	5896
8.5352	6432
8.7712	6968
9.7152	7504
9.9512	8040
10.8952	8576
11.8829	9112
18.487	4020
25.9283	1340
26.1643	1554
27.5803	1738
27.8163	1903
28.0523	2053
29.7043	2192
29.9403	2323
30.1763	2446
30.4123	2563
32.0643	2675
32.3003	2782
32.5363	2885
32.7723	2984
34.4243	3080
34.6603	3173
34.8963	3263
35.3683	3351
35.6043	3436
36.7843	3519
37.0203	3600
37.2563	3679
37.7283	3757
37.9643	3833
38.2003	3907
39.1443	3980
39.3803	4052
40.0883	4122
40.3243	4191
40.5603	4259
40.7963	4326
41.0323	4392
41.2683	4457
41.5043	4521
42.4483	4584
42.6843	4646
43.1563	4707
43.3923	4768
43.6283	4828
44.1003	4887
44.5723	4945
44.8083	5003
45.0443	5060
45.5163	5116
45.7523	5172
45.9883	5227
46.4603	5281
47.1683	5335
47.9162	5388
53.5403	2144
54.4843	2278
54.9563	2404
55.6643	2523
55.9003	2636
56.8443	2744
57.5523	2848
58.0243	2948
58.2603	3045
58.4963	3139
59.2043	3230
59.9123	3318
60.3843	3404
60.6203	3488
60.8563	3570
61.3283	3650
61.5643	3728
62.2723	3805
62.7443	3880
62.9803	3954
63.4523	4026
63.6883	4097
63.9243	4167
64.1603	4235
64.3963	4302
65.1043	4368
65.3403	4433
65.8123	4497
66.0483	4560
66.2843	4623
67.2283	4685
67.4643	4746
67.9363	4806
68.1723	4865
68.4083	4924
68.6443	4982
68.8803	5039
69.1163	5096
69.8243	5152
70.0603	5207
70.5323	5262
70.7683	5316
71.0043	5370
71.2403	5423
71.4763	5475
72.4203	5527
73.172	5578
76.3959	2144
76.9442	536
76.9442	1072
77.8843	1340
78.3203	1554
80.6803	1738
81.3883	1903
81.6243	2053
83.0403	2192
83.7483	2323
83.9843	2446
84.2203	2563
85.4003	2675
86.1083	2782
86.3443	2885
87.0523	2984
87.7603	3080
87.9963	3173
88.4683	3263
89.4123	3351
89.6483	3436
90.1203	3519
90.3563	3600
90.5923	3679
91.0643	3757
91.7723	3833
92.0083	3907
92.4803	3980
92.7163	4052
92.9523	4122
93.1883	4191
93.4243	4259
93.8963	4326
94.1323	4392
94.8403	4457
95.0763	4521
95.3123	4584
95.5483	4646
95.7843	4707
96.0203	4768
96.2563	4828
96.7283	4887
97.2003	4945
97.4363	5003
97.6723	5060
97.9083	5116
98.1443	5172
98.3803	5227
98.6163	5281
99.5603	5335
99.7963	5388
